¿¸«•¿œ¿⁄,ITEM_CD,¡¶«∞ƒ⁄µÂ/∏Ì  ƒ™, ºˆ  ∑Æ ,∆«∏≈¥‹∞°, ∆«∏≈¥Î±› ,
20180129,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,100 ",457.6," 2,333,760 ",
20180129,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,120 ",434," 1,788,080 ",
20180205,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,940 ",434," 2,577,960 ",
20180209,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,090 ",457.6," 2,329,180 ",
20180209,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,030 ",434," 2,183,020 ",
20180213,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,970 ",434," 1,722,980 ",
20180219,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,140 ",457.6," 2,352,060 ",
20180219,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,040 ",434," 2,621,360 ",
20180226,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,200 ",434," 1,822,800 ",
20180302,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,050 ",457.6," 2,310,880 ",
20180302,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,050 ",434," 2,625,700 ",
20180309,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,300 ",434," 2,734,200 ",
20180316,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,220 ",457.6," 1,931,070 ",
20180316,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,390 ",434," 2,773,260 ",
20180326,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,020 ",434," 2,612,680 ",
20180329,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,130 ",457.6," 2,347,480 ",
20180329,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,040 ",434," 2,187,360 ",
20180406,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,920 ",457.6," 878,590 ",
20180406,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,850 ",434," 2,538,900 ",
20180413,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,430 ",434," 2,790,620 ",
20180420,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,130 ",441.6," 1,823,800 ",
20180420,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,210 ",434," 2,695,140 ",
20180430,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,900 ",434," 2,560,600 ",
20180504,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,010 ",434," 1,740,340 ",
20180504,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,050 ",457.6," 1,853,280 ",
20180511,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,880 ",434," 2,551,920 ",
20180516,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,120 ",434," 920,080 ",
20180516,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,090 ",457.6," 1,871,580 ",
